"id","visit","center","bia1a","bia1a1","bia1a2","bia1c","bia1c1","bia2a","bia2a1","bia2c","bia2c1","bia3a","bia3a1","bia3c","bia3c1","bia4a","bia4a1","bia4c","bia4c1","bia5a","bia5a1","bia5c","bia5c1","bia6a","bia6a1","bia6c","bia6c1","bia7a","bia7a1","bia7c","bia7c1","bia8","bia1b","bia1d","bia2b","bia2d","bia3b","bia3d","bia4b","bia4d","bia5b","bia5d","bia6b","bia6d","bia7b","bia7d","bia9"
"EA40251",8,"EA","WALK AWAY AND FIND ANOTHER FRIEND WHO HAS A BALL I CAN USE.",,,"ASK MY MOTHER FOR A BRAND NEW BALL.",,"RUN AWAY FROM THE PERSON AND TELL MY MOM WHAT HAPPENED SO SHE CAN SOLVE THE","PROBLEM.","TELL THE KID I DON'T HAVE TIME TO BE FIGHTING.",,"RUN BEFORE THEY CATCH ME AND WHEN I GE","T HOME I WILL STAY IN THE HOUSE UNTIL THE PERSON IS GONE","I WOULD RUN AND GO TELL A GROWN-UP.",,"I WOULD NOT PLAY WITH THEM ANY MO","ORE AND I WOULD MAKE NEW FRIENDS.","DONT TALK TO THEM ANYMORE.",,"I WOULD TELL THE TEACHER, BECAU","SE I DON'T SOLVE A PROBLEM BY FIGHTING","I'D TELL THE KID I DON'T HAVE TIME TO BE FIGHT","ING OR LETTING PEOPLE HIT ME.","BREAK UP THE FIGHT, BY PUTTING MY H","ANDS UP BETWEEN THEM.","I'D TELL THE PERSON THAT FIGHTING DOES NOT SOV","LVE A PROBLEM AND YOU COULD GET HURT.","DON'T KNOW.",,"TELL A GROWN UP THEY ARE FIGHTING FOR HELP AND","I WANT THEM TO STOP.","BEB",5,5,4,1,5,5,5,5,4,1,7,1,22,4,8/15/1996
"EA40304",8,"EA","THAT'S OK ILL ASK MY OTHER FRIEND.",,,"NO",,"ILL BE LIKE ARE YOU GOING TO HIT ME. WHATS WRONG.",,"I'LL ASK HIM IF HE GOT BEAT UP.",,"NO.","JUST SAY NO.","NOTHING.",,"I WOULD TURN AROUND AND ASK WHAT","HE IS DOING.","WHAT IS YOU DOING ABOUT ME BEHIND MY HEAD.",,"PUSH HIM BACK.",,"NO",,"BREAK IT UP. TELL TO STOP.",,"TELL THEM TO SHEKE HANDS AND BE FRIENDS.",,"TELL FRIEND TO STOP OR I WILL TELL YOUR MOM.",,"NO",,"MPG",5,22,1,1,1,22,1,1,2,22,1,1,3,22,3/15/1997
"EA40312",8,"EA","I WOULD SAY ""CAN I PLEASE HOLD IT""? AND ASK HIM AGAIN.",,,"KEEP ASKING HIM TILL HE GIVES THE BALL UP",,"PUNCH HIM IN HIS FACE",,"I WOULD DO MY KARATE",,"I WOULD TELL HIM NO",,"I WOULD SAY NO  - YOU ARE NOT HAVING ANY.",,"I WOULD ASK HIM ""HEY MAN, WHY YOU","MAKING UP NASTY STORIES BEHIND MY BACK?""","TELL MY MOMMY - SHE WILL TELL ME TO HIT HIM",,"I WOULD PUSH HIM AND GET BACK I","N LINE WHERE I WAS.","I WOULD SAY - ""EXCUSE ME, THAT'S MY SPOT""",,"I WOULD TELL THEM TO STOP IT MAN.",,"I WOULD TELL THEM THAT I WILL TAKE THEM TO THE","PRINCIPAL","I WOULD SAY STOP MAN, YOU KNOW YOU AIN'T SUPPOSED","TO BE HITTING HIM.","I WUOLD SAY ""BREAK IT UP"".",,"JBH",1,1,2,2,1,1,1,4,2,1,1,3,1,1,1/15/1997
"EA40345",8,"EA","I WOULD WALK AWAY",,,"TAKE IT FROM HIM ? IDK",,"HIT HER BACK",,"THAT'S ALL",,"I WOULDN'T GIVE IT TO HIM",,"THAT'S ALL",,"NOTHING",,"I GO BACK AND DO THE SAME THING ? MAKE UP NAST","Y STORIES BACK","GET RIGHT BACK IN LINE",,"NOTHING ELSE",,"BREAK IT UP? TAKE THEM APART FROM E","ACH OTHER IF I WAS A GROWN UP I'D PUT ONE ON ONE SIDE & THE OTHER ON THE OTH","NOTHING",,"JUMP IN IT? I'D FIGHT AND HELP MY FRIEND",,"NOTHING",,"NLG",5,2,2,22,7,22,5,3,7,22,7,5,2,5,7/15/1996
"EA40399",8,"EA","I WOULD BRING MY OWN BALL THE NEXT DAY.",,,"I WOULD JUST ASK MY COUSIN TO HOLD HIS BALL, AND","THEN I'D ASK MY MOM TO BUY ME ONE","I WOULD JUST ASK HIM WHY HE LOOKS LIKE HES ABOUT TO HIT ME, AND THEN I","WOULD GO TELL HIS MOM","I WOULD JUST RUN AWAY OR RIDE MY BIKE AWAY",,"I WOULD JUST IGNORE HIM AND GO AHEAD AND GET MY DRINK","\","I WOULD JUST SAY NO, WHY DON'T YOU GO GET YOUR","OWN MONEY","I WOULD JUST TELL HIS MOTHER ON H","IM","I WOULD JUST RUN AWAY",,"I WOULD GO TELL WHOEVER IS IN","CHARGE, OR WATCHING US IN LINE","I WOULD GO HOME AND TELL MY MOTHER SO SHE CAN","CALL HIS MOTHER","I WOULD JUST SAY ""STOP"" AND IF THEY","DIDN'T I WOULD GO TELL THE TEACHER TO STOP THEM","I WOULD TELL THEM IF THEY STOPPED I WOULD GIVE","THEM CANDY, AND IF THEY DIDN'T I WOULD JUST IGNORE THEM","I WOULD TELL THE OTHER GUY NOT TO BOTHER MY FRIEND","AND IF HE DIDN'T I WOULD TELL AN ADULT SO THEY WILL GET IN TROUBLE","I WOULD JUST RUN AWAY AND TAKE MY FRIEND WITH","ME ON THE BIKE AND THEN TAKE HIM HOME","BEB",5,4,1,5,7,3,4,5,4,4,1,6,1,7,9/15/1996
"EA40401",8,"EA","PUNCH HIM",,,"KICK HIM",,"TELL SOMEBODY",,"HIT HIM IN THE EYE OR KICK HIM",,"SAY NO IT'S MY MONEY",,"PICK HIM UP AND THROW HIM, HIT HIM",,"THROW A PENCIL AT HIM AND DRAW ON","HIS SHIRT","TELL THE TEACHER",,"I COME BACK UP AND HIT HIM AND","SAY WHY DID YOU PUSH ME I WAS HERE FIRST","PUSH HIM TOO",,"BREAK IT UP",,"HIT HIM STOP FIGHTING",,"TALK TO MY FRIEND",,"STEP ON THE OTHER KID AND KICK HIM",,"NLG",2,2,4,2,1,2,2,4,2,2,22,2,1,2,12/15/1995
"EA40414",8,"EA","I WOULD WALK AWAY",,,"GET MAD AND LEAVE",,"RUN",,"TELL THE POLICE",,"SAY ""NO""",,"TELL THE MAN WHO IS IN LINE",,"SAY ""STOP""",,"TELL KIDS NOT TO LISTEN TO HIM. HE'S PHONY.",,"PUSH HIM OUT OF LINE",,"BEAT HIM UP",,"BREAK IT UP. GRAB COATS.",,"TELL THE MAN.",,"TELL FRIEND TO COME ON AND I'LL EXPLAIN TO YOUR MO","M SO YOU WON'T GET INTO TROUBLE.","I'LL HELP HIM FIGHT THE OTHER KID.",,"JBH",5,5,5,4,1,4,1,1,2,2,7,4,1,2,4/15/1996
"EA40422",8,"EA","GO TELL HIS MOTHER AND IF SHE DOESN'T DO ANYTHING THEN I'LL ASK HIM TO PLAY","A GAME THEN I'LL TAKE THE BALL FROM HIM",,"I'D TAKE IT FROM HIM WHEN HE WENT HOME AND HIDE",,"I'M GOING TO ASK HIM WHAT ARE YOU MAD ABOUT?",,"IF HE SAID I'M GOING TO HIT YOU I'M GOING TO P","UNCH HIM IN THE STOMACH FIRST","TELL HIM GET A JOB AND GO GET YOUR OWN",,"IF HE TRIED TO TAKE IT FROM ME I'D HIT HIM AND","THROW HIM TO A BRICK AND BREAK HIS BACK","BUST HIM IN HIS HEAD--",,"I'D TELL HIM THAT IF YOU'RE NOT MAN ENOUGH TO","SAY IT TO MY FACE I'LL BEAT YOU DOWN","I'M GOING TO PICK HIM UP AND BO","DY SLAM HIM AND STOMP HIM","KEEP STOMPING HIM STOP UNTIL HE GETS A BIG OLD","KNOT IN HIS HEAD","BREAK IT UP",,"MAKE THEM BOTH GO, WALK CONE OF THEM HOME AND","THEN GO BACK AND MAKE SURE THE OTHER ONE GOES HOME","I'M GOING TO BEAT UP THE OTHER KID THAT'S FIGHTING","MY FRIEND","TELL HIM BACK OFF MY FRIEND, ASK HIM HOW OLD H","E IS AND IF HE'S MY AGE THEN BEAT HIM UP FOR YOURSELF THEN ME AND MY FRIEND","SMB",2,2,1,2,3,2,2,3,2,2,22,7,2,2,4/15/1997
"EA40436",8,"EA","I WOULD GO BUY ONE.",,,"FIND A BALL.",,"WALK AWAY.",,"DON'T LOOK AT HIM.",,"I WOULDN'T GIVE IT TO HIM.",,"RUN.",,"NOTHING.",,"ASK HIM TO LEAVE ME ALONE.",,"RUN.",,"GO TELL A GROWN-UP OR TEACHER.",,"IGNORE THEM AND FINISH PLAYING.",,"NOT JUMP IN THE FIGHT.",,"BREAK IT UP.",,"GO TELL A GROWN-UP.",,"NLG",5,5,5,5,7,5,22,1,5,4,5,5,22,4,2/15/1996
"EA40450",8,"EA","I WOULD JUST GO HOME AND ASK MY FATHER FOR HIS BALL.",,,"JUST SAY THAT THAT ISN'T VERY NICE OF YOU.",,"I WOULD SAY ""WHY ARE YOU MAD?""",,"I WOULD JUST WALK ALONG - KEEP ON WALKING.",,"I WOULD SAY ""GO GET YOUR OWN"".",,"I WOULD RUN.",,"I WOULD GO TELL THE TEACHER - I W","OULD WANT THE TEACHER TO TALK TO THEM - THEY COULD MAKE ME A SORRY CARD.","I MIGHT NOT TELL ON THEM - I MIGHT FORGIVE THE","M.","I WOULD GO TELL THE TEACHER - B","ECAUSE IT IS NOT NICE TO PUSH. TEACHER WOULD GET THE PERSON OUT OF LINE.","I WOULD SAY YOU CAN'T PUSH ME.",,"I WOULD GO BREAK IT UP - I WOULD PU","SH THEM APART.","TELL THEM TO HUG AND SAY THEY ARE SORRY. ASK Y","WHO HAD THE TOYS FIRST THAT THEY WERE FIGHTING OVER.","BREAK IT UP - I WOULD SAY ""WHY DON'T YOU GO PLAY S","OMEPLACE ELSE.","I WOULD ASK THEM TO STOP FIGHTING - IT'S GOING","TO GET BIGGER AND BIGGER AND YOU ARE GOING TO GET HURT.","JBH",5,1,1,7,3,5,4,5,4,1,7,1,1,1,8/15/1996
"EA40469",8,"EA","JUST GO BACK HOME",,,"JUST GO TO THE PARK AND SWING",,"SAY, ""WHAT'S THE MATTER?""",,"TAKE HIM TO THE PARK AND SWING ON THE SWINGS",,"SAY, ""NO""",,"SAY, ""YOU CAN'T HAVE IT.""",,"DON'T SAY ANYTHING ABOUT HIM",,"SAY, ""COULD YOU STOP MAKING UP NASTY THINGS AB","OUT ME?""","SAY TO THEM, ""GET INTO THE BACK","OF THE LINE.""","DO NOTHING",,"BREAK IT UP BY SAYING, ""DON'T FIGHT",".""","SAY, ""DON'T FIGHT WHEN YOU ARE AT SCHOOL.""",,"STOP IT, SAY, ""STOP FIGHTING WITH MY FRIEND.""",,"SAY TO THE BOY, ""STOP FIGHTING WITH MY FRIEND.","""","BEB",5,5,1,6,1,1,5,1,1,5,1,1,1,1,12/15/1997
"EA40475",8,"EA","GO GET A GROWN UP SO THEY CAN HELP ME",,,"TELL THE BOY HE WAS NOT SHOWING MANNERS OR COURT","ESY","START RUNNING",,"TURN AROUND AND GO THE OTHER WAY.",,"RUN AND GO TO A GROWN UP AND TELL THEM TO HELP ME",,"SAY NO AND THEN START RUNNING",,"TELL A GROWN UP HE IS SAYING NAST","Y STORIES SO HE WILL GET INTO TROUBLE","I WOULD TELL HIM HE IS BEING DISGUSTING AND NA","STY.","I WOULD TELL THE TEACHER, OR TE","LL MY FAMILY SO HE WILL GET INTO TROUBLE","I WOULD TELL MY FAMILY SO THEY WILL HELP ME",,"BREAK IT UP BY PULLING THEM APART",,"GO TELL A GROWN UP SO THEY  CAN HELP THEM",,"I WOULD SAY STOP FIGHTING AND THEN I WOULD PULL TH","EM APART","I WOULD GRAB ONE PERSON AND MY FRIEND WOULD","HELP ME GRAB ANOTHER.","BEB",4,1,5,5,4,1,4,3,4,4,7,4,7,7,12/15/1996
"EA40497",8,"EA","GET A BASKETBALL FROM A DIFFERENT FRIEND, I WOULD FIND ANOTHER PERSON TO LET","ME HOLD THEIR BALL",,"TELL SOMEBODY ABOUT IT, SO I CAN TALK ABOUT IT",,"TELL HIS MOTHER SO SHE CAN HELP ME",,"I WOULD TELL MY MOTHER SO HE WOULD GET INTO","TROUBLE","CALL THE POLICE SO THEY COULD HELP ME",,"I WOULD RUN AWAY",,"TELL HER MOTHER SO SHE COULD HELP","ME","I WOULD TELL HER FATHER SO HE COULD HELP ME",,"TELL THE TEACHER SO HE WOULD GE","T INTO TROUBLE","TELL THE PRINCIPAL SO HE WOULD GET INTO TROUBL","E","TELL THE KID'S MOTHER SO HE WILL GE","T INTO TROUBLE","TELL HIS FATHER SO HE COULD HELP ME",,"TELL  THE OTHER GUY'S FATHER SO HE COULD GET INTOT","ROUBLE","TELL THE OTHER KID'S MOTHER, SO HE COULD GET","INTO TROUBLE","BEB",4,4,4,4,4,5,4,4,4,4,4,4,4,4,11/15/1996
"EA40518",8,"EA","I WOULD ASK HER AGAIN.",,,"GO HOME AND ASK SOMEBODY ELSE TO BORROW THEIR BA","LL.","I WOULD RUN AND GO TELL AN ADULT (Q) - TO KEEP ME SAFE",,"I WOULD TELL HIM TO LEAVE ME ALONE.",,"I WOULD TELL HIM THAT I'M BUYING SOMETHING TO DRINK. (SAY NO)",,"TELL THAT PERSON TO GET THEIR OWN MONEY.",,"TELL HIM TO STOP MAKING UP STORIE","S ABOUT ME","TELL HIM TO STOP PICKING ON ME",,"TELL HIM THAT I WAS THERE IN LI","NE FIRST","TELL HIM NOT TO PUSH ME",,"BREAK IT UP - TELL THEM TO STOP FIG","HTING","TELL THEM TO GET ALONG WITH EACH OTHER",,"TELL THEM TO STOP FIGHTING",,"TAKE THEM AWAY FROM EACH OTHER - (Q) MOVE THEM","AWAY FROM EACH OTHER.","NLG",1,5,4,1,1,1,1,1,1,1,1,1,1,2,3/15/1996
"EA40526",8,"EA","I WOULD GO TO A TOY STORE AND BUY A BASKETBALL.",,,"I WOULD GET ANOTHER BALL FROM HOME.",,"GO HOME AND TELL MY PARENTS SO THEY CAN PROTECT ME.",,"I WOULD WALK AWAY.",,"I WOULDN'T GIVE HIM MY MONEY.  I WOULD IGNORE HIM.",,"I'D SAY ""YOU LEAVE ME ALONE"".",,"I'D TELL THE KID TO STOP MAKING","UP NASTY STORIES ABOUT ME.","I DON'T KNOW.",,"GET BACK IN LINE AND IGNORE HIM",".","I'D TELL HIM TO STOP PUSHING ME.",,"I'D TELL THEM TO STOP HITTING EACH","OTHER.","I'D MAKE THEM SEPARATE BY TELLING THEM TO.",,"I'D TELL THE OTHER KID TO LEAVE MY FRIEND ALONE.",,"I'D GO WTIH MY FRIEND AND  HE'D TELL HIS FATHE","R SO HE CAN HELP HIM.","BEB",5,5,4,5,7,1,1,22,7,1,1,1,1,4,11/15/1996
"EA40560",8,"EA","I WOULD ASK SOMEBODY CAN I HOLD A BALL, (Q) ASK MY FRIEND",,,"I WOULDN'T GO",,"I'D RUN",,"I WOULD DO NOTHING, (Q) NOTHING",,"I WOULDN'T GIVE IT TO HIM",,"I'D BEAT HIM UP",,"I'D MAKE UP NASTY STUFF ABOUT HIM","AND TALK ABOUT HIS MOTHER","I'D SAY CAN'T WE JUST GET ALONG",,"I'D PUSH HIM OUT OF LINE AND GE","T BACK IN LINE WHERE I WAS","I'D FIGHT HIM",,"I'D STOP THE FIGHT (Q) I'D BREAK TH","E FIGHT UP AND GET IN THE MIDDLE AND I'D TELL THEM TO GET ALONG","NOTHING (Q) I'D LEAVE IT ALONE",,"NOTHING (Q) I'D HELP MY FRIEND OUT - I'D HELP HIM","BEAT UP THE OTHER BOY","NOTHING (Q) NOTHING",,"SLG",4,5,5,5,7,2,3,1,2,2,7,5,2,5,11/15/1996
"EA40593",8,"EA","WOULD NOT JOIN THE BASKETBALL TEAM",,,"ASK MY MOTHER IF SHE COULD BUY HIM ONE",,"RUN",,"ASK HIM WHY HE WAS MAD",,"WOULD NOT GIVE IT TO HIM- SAY I DON'T HAVE ANY MONEY",,"GO BACK HOME AND GET A SODA MYSELF",,"I WOULD TELL HIM TO STOP",,"MOVE AWAY FROM HIM- MOVE MY SEAT",,"I WOULD SAY YOU GOT IN FRONT OF","ME","I WOULD TELL A GROWN-UP",,"TELL THEM TO STOP",,"TELL THEM TO WORK IT OUT WITH THEIR MOUTH, NOT","THEIR HANDS","BACK THEM UP, BREAK IT UP- TELL THEM TO STOP",,"I WOULD TELL SOMEBODY THAT IS AROUND",,"CET",5,5,5,1,7,5,1,5,1,4,1,1,1,4,1/15/1997
"EA40606",8,"EA","I WOULD ASK SOMEBODY ELSE",,,"I WOULD ASK MY FATHER TO BUY ME A BASKETBALL.",,"I WOULD HIT HIM BACK.",,"I MIGHT SAY ""DONT HIT ME"".",,"I WON'T GIVE IT TO HIM.",,"I WOULD SAY ""NO""",,"I DON'T KNOW WHAT I WOULD DO",,"==============================================",,"I WOULD PUSH THEM BACK.",,"I MIGHT TELL MY TEACHER.",,"I WOULD TELL SOMEBODY LIKE A PARENT",,"I MIGHT BREAK IT UP.  I WOULD GET ONE MORE PER","SON AND TELL HIM TO GET ONE PERSON WHILE I GOT THE OTHER.","I WOULD TELL THE PRINCIPAL.",,"I MIGHT TELL A PARENT.",,"NLG",5,5,2,1,7,1,22,22,2,4,4,4,4,4,8/15/1996
"EA40619",8,"EA","TAKE IT FROM HIM.",,,"DK",,"HIT HIM.",,"WALK AWAY.",,"TAKE THE MONEY BACK.",,"WON'T GIVE HIM THE MONEY",,"FIND OUT WHAT THE STORIES ARE.",,"DON'T KNOW.",,"GET BACK IN LINE.",,"NOTHING.",,"WALK AWAY",,"WALK AWAY.",,"WALK AWAY.",,"NO",,"MPG",2,22,2,5,2,7,1,22,7,22,5,5,5,22,4/15/1997
"EA40631",8,"EA","TAKE IT FROM HIM.  I'D THEN RUN OR FIGHT HIM.",,,"DROP THE BALL AND SHAKE HANDS.",,"I'D LOOK AT HIM AND SEE WHAT HE WOULD DO, THEN I'D START CHASING HIM.",,"I WOULD FIGHT HIM, AND SLAP HIM.",,"I WOULD BANG HIM OR I WOULD CHASE HIM AND CATCH HIM.",,"I'D NOT GIVE HIM MY MONEY AND HIDE MY MONEY.",,"BANG HIM OR FIGHT HIM.",,"KILL HIM, I WOULD GIVE HIM A BLACK EYE.",,"I WOULD PUSH HIM BACK OUT OF TH","E LINE.  I MIGHT BANG HIM IN FRONT OF EVERYONE.","CHASE HIM AWAY.",,"BREAK IT UP, I'D COME OVER AND PULL","THEM OFF EACHOTHER.","I WOULD SEND THEM HOME.",,"BREAK IT UP,  GRAB THE OTHER GUY AND PULL HIM OFF",,"I WOULD SEND HIM HOME AND TELL THEM TO STOP FI","GHTING.","BEB",2,7,2,2,2,7,2,2,2,2,2,1,2,1,5/15/1996
